id;first_name;last_name;email;age;gender;state;street_address;postal_code;city;country;latitude;longitude;traffic_source;created_at;
1;Rhonda;Potter;rhondapotter@example.com;62;F;Gyeonggi-do;26092 John Well Suite 208;421-150;Bucheon City;South Korea;3.752.401.835;1.267.672.137;Search;2022-03-23 12:55:00+00:00;
2;Stephen;Burns;stephenburns@example.net;65;M;São Paulo;12512 Jonathan Divide;14404;Franca;Brasil;-2.058.116.188;-4.738.606.201;Organic;2020-10-19 10:34:00+00:00;
3;Clifford;Guzman;cliffordguzman@example.org;16;M;Florida;3197 Richard Via;33009;Hallandale Beach;United States;259.852.384;-8.014.662.012;Organic;2023-03-09 09:13:00+00:00;
4;Jennifer;Young;jenniferyoung@example.net;12;F;Texas;852 Bird Knolls;77083;Mission Bend;United States;2.969.309.797;-9.564.893.474;Search;2019-09-14 09:31:00+00:00;
5;Vanessa;Ross;vanessaross@example.net;52;F;Piauí;609 Susan Row;64120-000;União;Brasil;-4.594.782.853;-4.278.989.862;Organic;2020-10-02 10:03:00+00:00;
6;Daniel;Smith;danielsmith@example.net;65;M;South Australia;654 Andrew Mountains Suite 139;5095;Adelaide;Australia;-3.481.753.465;1.386.165.944;Facebook;2022-02-27 04:38:00+00:00;
7;Cory;Hernandez;coryhernandez@example.com;32;M;Guangdong;021 Karen Views Suite 374;523003;Jingdezhen;China;2.285.037.737;1.139.417.496;Search;2021-01-09 16:52:00+00:00;
8;David;Berry;davidberry@example.com;70;M;Hyogo;7067 Werner Glen Apt. 451;650-0045;Kobe City;Japan;3.466.828.226;1.352.264.796;Organic;2021-06-11 17:15:00+00:00;
9;Jason;Payne;jasonpayne@example.com;39;M;Gansu province;63281 Bradley Village;730031;Xiamen;China;3.605.410.331;1.038.100.391;Organic;2019-08-09 17:44:00+00:00;
10;Henry;Dennis;henrydennis@example.org;15;M;New York;009 Jason Ridges;14626;Ridgemont;United States;4.321.440.696;-7.771.486.992;Search;2020-07-27 00:47:00+00:00;
11;Victoria;Fuller;victoriafuller@example.org;41;F;Minas Gerais;87971 Beverly Mission Apt. 051;38405;Uberlândia;Brasil;-1.889.904.226;-4.825.744.087;Organic;2023-07-15 09:06:00+00:00;
12;Brittany;Collins;brittanycollins@example.net;40;F;Pará;60681 Rachel Drive;68447-000;Belém;Brasil;-1.490.858.773;-4.861.172.863;Search;2023-01-31 15:13:00+00:00;
13;Diane;Douglas;dianedouglas@example.net;54;F;Rio de Janeiro;993 Adkins Place;22451-265;Rio de Janeiro;Brasil;-2.298.840.107;-4.325.409.287;Search;2024-01-15 12:54:23.787985+00:00;
14;Todd;Anderson;toddanderson@example.com;41;M;Texas;8920 Edward Fort Apt. 862;75229;Dallas;United States;3.289.298.502;-9.686.869.484;Search;2022-01-04 15:14:00+00:00;
15;Samuel;Joseph;samueljoseph@example.org;30;M;Heilongjiang;5492 David Via;150501;Wenzhou;China;4.571.392.207;1.267.692.988;Email;2021-04-12 08:38:00+00:00;
16;David;Palmer;davidpalmer@example.org;67;M;Hokkaido;5203 Fuller Skyway Apt. 708;005-0861;Sapporo;Japan;4.294.774.046;1.413.533.773;Organic;2022-04-25 18:57:00+00:00;
17;Anthony;Collins;anthonycollins@example.org;29;M;England;750 James Junction;HP13;High Wycombe;United Kingdom;5.163.801.717;-740.964.985;Search;2019-04-27 12:17:00+00:00;
18;Timothy;Smith;timothysmith@example.net;17;M;Oregon;20335 Gamble Trafficway;97702;Bend;United States;4.395.141.185;-1.212.202.676;Facebook;2023-06-25 07:59:00+00:00;
19;Debbie;Nash;debbienash@example.com;21;F;Seoul;604 Ayers Locks Suite 826;152-081;Seoul;South Korea;3.750.075.086;1.268.638.029;Search;2020-03-22 18:56:00+00:00;
20;James;Brooks;jamesbrooks@example.org;13;M;Georgia;1141 Hall Center Apt. 287;30319;Brookhaven;United States;3.387.808.531;-8.433.617.412;Organic;2023-06-02 10:23:00+00:00;
21;Luis;Mitchell;luismitchell@example.org;58;M;California;05591 Walker Village Apt. 985;93561;Bear Valley Springs;United States;3.511.715.707;-118.493.488;Search;2022-05-12 00:17:00+00:00;
22;Nicholas;Smith;nicholassmith@example.net;28;M;Île-de-France;947 Alexis Station;75013;Paris;France;4.882.840.391;2.362.290.199;Organic;2023-11-12 15:14:00+00:00;
23;Tara;Maldonado;taramaldonado@example.com;70;F;Tokyo;354 Sandra Oval Apt. 269;174-0071;Tokyo;Japan;3.576.166.307;1.396.871.031;Search;2019-07-12 16:11:00+00:00;
24;Michelle;Oconnor;michelleoconnor@example.com;69;F;Hebei;7598 Michael Pines Suite 031;64499;Foshan;China;4.000.989.414;1.187.104.902;Search;2022-11-29 04:30:00+00:00;
25;Scott;Hall;scotthall@example.com;56;M;Kanagawa;051 Neal Terrace;252-0813;Fujisawa City;Japan;353.796.847;1.394.742.904;Search;2020-03-29 08:12:00+00:00;
26;Andrea;Barber;andreabarber@example.org;35;F;New York;42505 Jessica Circle;10705;Yonkers;United States;4.092.010.758;-7.389.496.597;Search;2024-01-16 09:10:00+00:00;
27;Jordan;Silva;jordansilva@example.org;22;M;Nevada;9823 Barton Station;89131;Las Vegas;United States;3.636.979.435;-1.152.375.848;Search;2020-06-30 11:19:00+00:00;
28;Christopher;Garner;christophergarner@example.com;44;M;Michigan;407 Reeves Valleys;48430;Fenton Township;United States;4.275.892.758;-8.374.242.662;Display;2019-08-22 02:47:00+00:00;
29;Brittany;Kim;brittanykim@example.org;34;F;California;156 Paul Turnpike;92376;Rialto;United States;3.462.601.657;-117.464.853;Search;2019-02-02 18:29:00+00:00;
30;Jessica;Franco;jessicafranco@example.org;16;F;California;52235 Vargas Green Suite 775;93458;Santa Maria;United States;3.495.172.013;-1.204.991.949;Organic;2023-04-14 12:53:00+00:00;
31;Trevor;Davis;trevordavis@example.com;67;M;Shaanxi;914 Guzman Circles;710118;Zhangzhou;China;3.415.965.038;1.088.551.495;Facebook;2019-06-15 12:41:00+00:00;
32;Tracy;Davis;tracydavis@example.net;70;F;Zhejiang;32394 Jose Summit Suite 778;317525;Yichun;China;284.521.644;121.247.664;Search;2019-01-22 16:37:00+00:00;
33;Daniel;Rodriguez;danielrodriguez@example.net;30;M;Kanagawa;251 Gabriella Center Apt. 119;225-0003;Yokohama City;Japan;3.557.175.838;1.395.604.721;Facebook;2020-07-05 01:57:00+00:00;
34;Ashley;Johnson;ashleyjohnson@example.org;61;F;Minas Gerais;05621 Johnson Bridge;36240-000;Santos Dumont;Brasil;-2.145.830.148;-4.352.637.091;Search;2023-02-22 11:36:00+00:00;
35;Michelle;Anderson;michelleanderson@example.org;60;F;England;405 Linda Stravenue;WN4;Ashton-in-Makerfield;United Kingdom;5.349.569.764;-2.650.998.094;Search;2023-11-15 04:36:00+00:00;
36;Natalie;Howell;nataliehowell@example.net;25;F;Missouri;16620 Wilson Ports Suite 790;63379;Troy;United States;3.899.849.139;-909.927.501;Search;2023-08-21 12:27:00+00:00;
37;Maria;Key;mariakey@example.net;34;F;Pennsylvania;21911 Samuel Trace;17404;York;United States;4.000.089.259;-767.709.251;Search;2022-03-04 07:45:00+00:00;
38;Meredith;Jones;meredithjones@example.org;35;F;Guizhou;678 Velez Points;550000;Dalian;China;266.249.541;106.702.235;Search;2023-01-24 06:33:00+00:00;
39;Kevin;Andrade;kevinandrade@example.org;47;M;Maranhão;298 Jeffrey Pike;65063;São Luís;Brasil;-260.396.844;-4.420.507.344;Search;2020-12-21 00:12:00+00:00;
40;Tyler;Walker;tylerwalker@example.org;44;M;Florida;97262 Ortega Spurs Apt. 579;32507;Warrington;United States;3.033.671.992;-8.738.208.729;Search;2021-06-19 00:09:00+00:00;
41;Shane;Murray;shanemurray@example.org;39;M;Rio Grande do Norte;86314 Kelli Ramp;59200-000;Santa Cruz;Brasil;-6.252.002.164;-3.600.284.964;Search;2023-03-03 17:34:00+00:00;
42;Sarah;Gonzalez;sarahgonzalez@example.com;31;F;Virginia;622 Beck Ville;20120;Centreville;United States;3.885.381.026;-7.747.797.796;Organic;2021-07-15 16:32:00+00:00;
43;Lauren;Rivera;laurenrivera@example.net;31;F;Jiangxi;915 Michael Garden;334600;Shanghai;China;2.845.893.424;1.181.953.961;Search;2021-09-22 02:27:00+00:00;
44;Melissa;Whitaker;melissawhitaker@example.net;56;F;Chung-cheong bukdo;282 Karen Grove Suite 885;360-100;Cheongju City;South Korea;36.617.142;1.275.192.265;Search;2022-08-16 02:12:00+00:00;
45;Karen;Fox;karenfox@example.com;13;F;Sichuan;3643 Adam Hollow Apt. 265;610081;Taiyuan;China;3.071.166.904;1.041.164.294;Search;2024-01-13 11:22:24.883119+00:00;
46;Linda;White;lindawhite@example.com;40;F;New York;22127 Dennis Prairie Apt. 844;10474;New York;United States;4.080.462.695;-738.829.185;Search;2020-01-07 09:11:00+00:00;
47;Connie;Smith;conniesmith@example.net;25;F;Idaho;34453 Jimmy Falls Suite 603;83202;Fort Hall;United States;4.298.714.549;-1.124.069.569;Search;2019-06-10 03:13:00+00:00;
48;Charles;Bryant;charlesbryant@example.com;56;M;Rio Grande do Sul;1236 Gary Isle;96180-000;Camaquã;Brasil;-3.092.171.939;-5.178.894.845;Email;2021-11-18 11:27:00+00:00;
49;Jason;Barton;jasonbarton@example.com;31;M;Guangdong;930 Hernandez Motorway;510378;Harbin;China;2.306.582.917;1.131.917.991;Search;2022-08-28 04:00:00+00:00;
50;Nathan;Barker;nathanbarker@example.net;51;M;Guangdong;85730 James Square Suite 990;528402;Wuhan;China;2.254.857.156;1.134.524.728;Email;2021-01-12 11:10:00+00:00;
51;Kyle;Delgado;kyledelgado@example.org;46;M;Bahia;0034 Garcia Junction;45810-000;Porto Seguro;Brasil;-1.661.973.169;-3.929.032.258;Search;2020-05-05 07:36:00+00:00;
52;Mark;Chavez;markchavez@example.org;70;M;New Jersey;4303 Case Hollow Apt. 289;7090;Westfield;United States;4.065.167.468;-7.434.342.854;Search;2022-09-05 09:39:00+00:00;
53;Michael;Cunningham;michaelcunningham@example.com;53;M;Tokyo;9909 Pierce Oval Suite 825;121-0823;Tokyo;Japan;3.579.471.978;1.397.834.112;Organic;2023-04-19 17:24:00+00:00;
54;Travis;Trevino;travistrevino@example.com;67;M;Chongqing;863 Laura Gateway Apt. 610;402700;Chengdu;China;2.959.265.924;1.062.326.056;Display;2020-08-20 09:26:00+00:00;
55;Mary;Conrad;maryconrad@example.net;15;F;Massachusetts;371 Ayala Mission Apt. 308;1845;North Andover;United States;4.267.149.441;-7.108.667.725;Organic;2023-11-29 02:56:00+00:00;
56;Ashley;Hall;ashleyhall@example.org;28;F;Dolno?l?skie;8240 Cox Drive;59;Bogatynia;Poland;5.122.152.827;1.572.695.507;Search;2020-08-30 06:20:00+00:00;
57;Luis;French;luisfrench@example.org;56;M;England;28972 Holly Extensions Apt. 496;RG4;Reading;United Kingdom;5.149.161.989;-9.805.654.701;Search;2019-12-02 05:06:00+00:00;
58;Michelle;Soto;michellesoto@example.com;34;F;Rio Grande do Sul;890 Richard Fall Suite 650;90450-190;Porto Alegre;Brasil;-3.004.980.758;-5.120.185.743;Search;2019-10-30 06:18:00+00:00;
59;Adam;Butler;adambutler@example.com;32;M;Kentucky;77135 Jackson Valleys Apt. 695;40504;Lexington;United States;3.804.169.168;-8.454.148.228;Organic;2020-06-17 16:01:00+00:00;
60;Denise;Simon;denisesimon@example.com;41;F;Chongqing;05245 Graves Union Suite 011;400032;Putian;China;2.959.956.362;1.064.523.645;Search;2020-01-17 16:07:00+00:00;
