"id","category","name","brand","retail_price","department","sku","distribution_center_id"
1,"Tops & Tees","Seven7 Women's Long Sleeve Stripe Belted Top","Seven7",49,"Women","C4CA4238A0B923820DCC509A6F75849B",1
3,"Tops & Tees","Calvin Klein Jeans Women's Solid Flyaway Shirt","Calvin Klein Jeans",69.5,"Women","ECCBC87E4B5CE2FE28308FD9F2A7BAF3",8
50,"Tops & Tees","Calvin Klein Women's MSY 3/4 Sleeve Top","Calvin Klein",59.5,"Women","C0C7C76D30BD3DCAEFC96F40275BDC0A",3
71,"Tops & Tees","Plenty by Tracy Reese Women's Easy Shirt","Plenty by Tracy Reese",158,"Women","E2C420D928D4BF8CE0FF2EC19B371514",1
78,"Tops & Tees","Splendid Women's Boxy Pocket Top","Splendid",72,"Women","35F4A8D465E6E1EDC05F3D8AB658C551",10
80,"Tops & Tees","Democracy Women's French Terry Top with Contrast Woven Shoulder and Laser Cut Design","Democracy",54,"Women","F033AB37C30201F73F142449D037028D",2
90,"Tops & Tees","Wilt Women's Long Sleeve Back Slant","Wilt",59.0304006612062,"Women","8613985EC49EB8F757AE6439E879BB2A",6
111,"Tops & Tees","Mango Women's Printed T-Shirt With Bows - Colibri-N","MANGO",133.446598308572,"Women","698D51A19D8A121CE581499D7B701668",9
118,"Tops & Tees","Kenneth Cole Women's 3/4 Sleeve Tiered Top","Kenneth Cole",254.672206285285,"Women","5EF059938BA799AAA845E1C2E8A762BD",6
129,"Tops & Tees","Woman Within Plus Size Top 2-in-1 t-shirt with lace trim","Woman Within",162.545798589643,"Women","D1F491A404D6854880943E5C3CD9CA25",5
139,"Tops & Tees","allen allen Women's Rugby Stripe Long Sleeve Thumbhole Tee","Allen Allen",58,"Women","E00DA03B685A0DD18FB6A08AF0923DE0",7
148,"Tops & Tees","Alternative Ladies' Rib-Sleeve Scoopneck Long-Sleeve T-Shirt with Thumbholes","Alternative",270.945808814224,"Women","47D1E990583C9C67424D369F3414728E",2
174,"Tops & Tees","Chestnut Hill Ladies Performance Plus Long Sleeve Twill. CH605W","Chestnut Hill",15.6847698257747,"Women","BF8229696F7A3BB4700CFDDEF19FA23F",7
186,"Tops & Tees","Patty Women Unique Corset Embroidered Back Cap Sleeve Boho Clubwear Blouse Top","Patty",158.366797048409,"Women","9872ED9FC22FC182D371C3E9ED316094",1
186,"Tops & Tees","Patty Women Unique Corset Embroidered Back Cap Sleeve Boho Clubwear Blouse Top","Patty",158.366797048409,"Women","9872ED9FC22FC182D371C3E9ED316094",1
188,"Tops & Tees","2 or 4 Pack: Zenana Cami Sets Many Colors Available 22","Zenana",118.503004632934,"Women","9DCB88E0137649590B755372B040AFAD",2
